index,type,value,combination
297,i32,xmlDictOwns,i32	xml	Dict	Owns	
298,i32,xmlDictOwns,i32	xml	Dict	Owns	
299,i32,xmlStrEqual,i32	xml	Str	Equal	
300,i32,xmlStrEqual,i32	xml	Str	Equal	
301,i32,xmlStrEqual,i32	xml	Str	Equal	
302,i32,xmlStrEqual,i32	xml	Str	Equal	
303,i32,xmlStrEqual,i32	xml	Str	Equal	
304,i32,xmlStrEqual,i32	xml	Str	Equal	
305,i32,xmlStrEqual,i32	xml	Str	Equal	
306,i32,xmlStrEqual,i32	xml	Str	Equal	
307,i32,xmlStrEqual,i32	xml	Str	Equal	
308,i32,xmlStrQEqual,i32	xml	Str	Q	Equal	
309,i32,xmlStrQEqual,i32	xml	Str	Q	Equal	
310,i32,xmlStrQEqual,i32	xml	Str	Q	Equal	
311,i32,xmlStrEqual,i32	xml	Str	Equal	
312,i32,xmlStrEqual,i32	xml	Str	Equal	
313,i32,xmlStrEqual,i32	xml	Str	Equal	
314,_xmlHashTable*,xmlHashCreate,xml	Hash	Table*	xml	Hash	Create	
315,i32,xmlStrcasecmp,i32	xml	Strcasecmp	
316,i32,xmlStrEqual,i32	xml	Str	Equal	
317,i32,xmlStrEqual,i32	xml	Str	Equal	
318,i32,xmlStrEqual,i32	xml	Str	Equal	
319,i32,htmlCheckAutoClose,i32	html	Check	Auto	Close	
320,i32,htmlAutoCloseTag,i32	html	Auto	Close	Tag	
321,i32,htmlAutoCloseTag,i32	html	Auto	Close	Tag	
322,i32,xmlStrEqual,i32	xml	Str	Equal	
323,i32,xmlStrEqual,i32	xml	Str	Equal	
324,_htmlEntityDesc*,htmlEntityValueLookup,html	Entity	Desc*	html	Entity	Value	Lookup	
325,_htmlEntityDesc*,htmlEntityValueLookup,html	Entity	Desc*	html	Entity	Value	Lookup	
326,i8*,htmlParseName,i8*	html	Parse	Name	
327,i32,xmlStrEqual,i32	xml	Str	Equal	
328,i32,xmlStrcasecmp,i32	xml	Strcasecmp	
329,i32,xmlStrcasecmp,i32	xml	Strcasecmp	
330,i32,xmlStrcasecmp,i32	xml	Strcasecmp	
331,i8*,xmlStrstr,i8*	xml	Strstr	
332,i8*,xmlStrstr,i8*	xml	Strstr	
333,i8*,xmlStrstr,i8*	xml	Strstr	
334,i8*,xmlStrstr,i8*	xml	Strstr	
335,i8*,xmlStrstr,i8*	xml	Strstr	
336,i8*,xmlStrstr,i8*	xml	Strstr	
337,i8*,xmlStrstr,i8*	xml	Strstr	
338,i32,xmlStrcasecmp,i32	xml	Strcasecmp	
339,i32,xmlStrcasecmp,i32	xml	Strcasecmp	
340,i32,xmlStrcasecmp,i32	xml	Strcasecmp	
341,i32,xmlStrcasecmp,i32	xml	Strcasecmp	
342,i32,xmlStrcasecmp,i32	xml	Strcasecmp	
343,i32,xmlStrcasecmp,i32	xml	Strcasecmp	
344,i32,xmlStrcasecmp,i32	xml	Strcasecmp	
345,i32,xmlStrcasecmp,i32	xml	Strcasecmp	
346,i32,xmlStrcasecmp,i32	xml	Strcasecmp	
347,i32,xmlStrcasecmp,i32	xml	Strcasecmp	
348,i8*,xmlStrcasestr,i8*	xml	Strcasestr	
349,i32,xmlStrcasecmp,i32	xml	Strcasecmp	
350,_xmlBuf*,xmlBufFromBuffer,xml	Buf*	xml	Buf	From	Buffer	
351,i64,htmlBufNodeDumpFormat,i64	html	Buf	Node	Dump	Format	
352,i32,xmlParseCharEncoding,i32	xml	Parse	Char	Encoding	
353,_xmlOutputBuffer*,xmlOutputBufferCreateFile,xml	Output	Buffer*	xml	Output	Buffer	Create	File	
354,i8*,htmlGetMetaEncoding,i8*	html	Get	Meta	Encoding	
355,i32,xmlParseCharEncoding,i32	xml	Parse	Char	Encoding	
356,_xmlOutputBuffer*,xmlAllocOutputBufferInternal,xml	Output	Buffer*	xml	Alloc	Output	Buffer	Internal	
357,i32,xmlStrEqual,i32	xml	Str	Equal	
358,i32,xmlStrEqual,i32	xml	Str	Equal	
359,i32,xmlStrEqual,i32	xml	Str	Equal	
360,i32,htmlIsBooleanAttr,i32	html	Is	Boolean	Attr	
361,i8*,xmlNodeListGetString,i8*	xml	Node	List	Get	String	
362,i32,xmlStrcasecmp,i32	xml	Strcasecmp	
363,i32,xmlStrcasecmp,i32	xml	Strcasecmp	
364,i32,xmlStrcasecmp,i32	xml	Strcasecmp	
365,i32,xmlStrcasecmp,i32	xml	Strcasecmp	
366,i32,xmlStrcasecmp,i32	xml	Strcasecmp	
367,i32,xmlStrEqual,i32	xml	Str	Equal	
368,i32,xmlStrEqual,i32	xml	Str	Equal	
369,i32,xmlStrcasecmp,i32	xml	Strcasecmp	
370,i32,xmlStrcasecmp,i32	xml	Strcasecmp	
371,i8*,xmlEncodeEntitiesReentrant,i8*	xml	Encode	Entities	Reentrant	
372,_htmlElemDesc*,htmlTagLookup,html	Elem	Desc*	html	Tag	Lookup	
373,_htmlElemDesc*,htmlTagLookup,html	Elem	Desc*	html	Tag	Lookup	
374,i32,xmlStrcmp,i32	xml	Strcmp	
375,i32,xmlStrcmp,i32	xml	Strcmp	
376,_htmlElemDesc*,htmlTagLookup,html	Elem	Desc*	html	Tag	Lookup	
377,_htmlElemDesc*,htmlTagLookup,html	Elem	Desc*	html	Tag	Lookup	
378,_htmlElemDesc*,htmlTagLookup,html	Elem	Desc*	html	Tag	Lookup	
379,_htmlElemDesc*,htmlTagLookup,html	Elem	Desc*	html	Tag	Lookup	
380,i32,xmlRegisterInputCallbacks,i32	xml	Register	Input	Callbacks	
381,_xmlDoc*,xmlReadMemory,xml	Doc*	xml	Read	Memory	
382,i32,xmlXIncludeProcess,i32	xml	X	Include	Process	
383,i32,strncmp,i32	strncmp	
384,i32,strncmp,i32	strncmp	
385,i32,strcmp,i32	strcmp	
386,i32,strcmp,i32	strcmp	
387,i32,strcmp,i32	strcmp	
388,i32,strcmp,i32	strcmp	
389,i32,strcmp,i32	strcmp	
390,i32,strcmp,i32	strcmp	
391,i32,strcmp,i32	strcmp	
392,i32,strcmp,i32	strcmp	
393,i32,strcmp,i32	strcmp	
394,i32,strcmp,i32	strcmp	
395,i32,strcmp,i32	strcmp	
396,i32,strcmp,i32	strcmp	
397,i32,strcmp,i32	strcmp	
398,i32,strcmp,i32	strcmp	
399,i32,strcmp,i32	strcmp	
400,i32,strcmp,i32	strcmp	
401,i32,strcmp,i32	strcmp	
402,i32,strcmp,i32	strcmp	
403,i32,strcmp,i32	strcmp	
404,i32,strcmp,i32	strcmp	
405,i32,strcmp,i32	strcmp	
406,i32,strcmp,i32	strcmp	
407,i32,strcmp,i32	strcmp	
408,i32,strcmp,i32	strcmp	
409,i32,strcmp,i32	strcmp	
410,i32,strcmp,i32	strcmp	
411,i32,strcmp,i32	strcmp	
412,i32,strcmp,i32	strcmp	
413,i32,strcmp,i32	strcmp	
414,i32,strcmp,i32	strcmp	
415,i32,strcmp,i32	strcmp	
416,i32,strcmp,i32	strcmp	
417,i32,strcmp,i32	strcmp	
418,i32,strcmp,i32	strcmp	
419,i32,strcmp,i32	strcmp	
420,i32,strcmp,i32	strcmp	
421,i32,strcmp,i32	strcmp	
422,i32,strcmp,i32	strcmp	
423,i32,strcmp,i32	strcmp	
424,i32,strcmp,i32	strcmp	
425,i32,strcmp,i32	strcmp	
426,i32,strcmp,i32	strcmp	
427,i32,strcmp,i32	strcmp	
428,i32,strcmp,i32	strcmp	
429,i32,strcmp,i32	strcmp	
430,i32,strcmp,i32	strcmp	
431,i32,strcmp,i32	strcmp	
432,i32,strcmp,i32	strcmp	
433,i32,strcmp,i32	strcmp	
434,i32,strcmp,i32	strcmp	
