index,type,value,combination
7853,i32,3,i32	constant	
7854,i32,1,i32	constant	
7855,i32,1,i32	constant	
7856,i32,3,i32	constant	
7857,i32,3,i32	constant	
7858,i8*,null,i8*	null	
7859,i32,1,i32	constant	
7860,i32,1,i32	constant	
7861,i32,3,i32	constant	
7862,i32,3,i32	constant	
7863,,internal global _xmlDoc* null,	constant	
7864,i32,1,i32	constant	
7865,i32,1,i32	constant	
7866,i32,3,i32	constant	
7867,_xmlNode*,null,xml	Node*	null	
7868,,internal global _xmlDoc* null,	constant	
7869,_xmlDoc*,null,xml	Doc*	null	
7870,i32,3,i32	constant	
7871,i32,5,i32	constant	
7872,i32,1,i32	constant	
7873,i32,1,i32	constant	
7874,i32,3,i32	constant	
7875,i32,3,i32	constant	
7876,_xmlNode*,null,xml	Node*	null	
7877,i32,1,i32	constant	
7878,i32,1,i32	constant	
7879,i32,3,i32	constant	
7880,i32,3,i32	constant	
7881,,internal global _xmlNode* null,	constant	
7882,_xmlNode*,null,xml	Node*	null	
7883,i32,1,i32	constant	
7884,i32,1,i32	constant	
7885,i32,3,i32	constant	
7886,i32,3,i32	constant	
7887,i32,1,i32	constant	
7888,_xmlAttr*,null,xml	Attr*	null	
7889,i32,1,i32	constant	
7890,i32,1,i32	constant	
7891,i32,3,i32	constant	
7892,i32,3,i32	constant	
7893,_xmlEntity*,null,xml	Entity*	null	
7894,,internal global i32 0,	constant	
7895,i32,0,i32	constant	
7896,i32,0,i32	constant	
7897,_xmlElement*,null,xml	Element*	null	
7898,_xmlAttribute*,null,xml	Attribute*	null	
7899,i32,2,i32	constant	
7900,i32,2,i32	constant	
7901,i32,5,i32	constant	
7902,i32,4,i32	constant	
7903,i32,2,i32	constant	
7904,i32,5,i32	constant	
7905,i32,4,i32	constant	
7906,i32,2,i32	constant	
7907,i32,5,i32	constant	
7908,i32,2,i32	constant	
7909,i32,5,i32	constant	
7910,i32,5,i32	constant	
7911,i32,2,i32	constant	
7912,i32,2,i32	constant	
7913,,internal global i32 0,	constant	
7914,i32,0,i32	constant	
7915,i32,0,i32	constant	
7916,i32,1,i32	constant	
7917,i32,2,i32	constant	
7918,i32,1,i32	constant	
7919,i32,2,i32	constant	
7920,i32,1,i32	constant	
7921,i32,2,i32	constant	
